Price,sqft,bedrooms,bathrooms,lot_size,area,area_n
320052,2854,6,1.5,14912,Uptown,1
415874,2885,4,3,16398,Downtown,2
442408,2978,4,3,19243,Downtown,2
416154,2994,4,2.5,9521,Downtown,2
421605,3171,4,1.5,20110,Downtown,2
446328,3022,6,4,22078,Suburbs,3
399208,2835,3,3,9749,Downtown,2
455964,3064,6,2.5,22448,Downtown,2
373053,2996,2,2.5,17140,Suburbs,3
386552,3067,2,2.5,11019,Downtown,2
338375,2876,5,2.5,7919,Uptown,1
382467,2838,2,3,17877,Suburbs,3
308270,2997,1,2.5,19215,Uptown,1
.,3049,6,3.5,14351,Downtown,2
309974,3012,1,3,11538,Uptown,1
420361,3028,3,2.5,22176,Downtown,2
416317,2987,1,3.5,15974,Downtown,2
473018,3119,6,3.5,14742,Downtown,2
425298,3085,1,4,13549,Downtown,2
393949,2827,6,2,16265,Suburbs,3
444472,3076,5,2,19522,Downtown,2
403935,2839,6,1.5,16663,Downtown,2
409223,3112,3,1.5,23761,.,2
373242,2981,1,2,14222,Downtown,2
409808,3029,2,3.5,18458,Suburbs,3
322361,2889,5,1.5,11110,Uptown,1
349500,2909,2,2,14485,Suburbs,3
353593,3192,4,1.5,18995,Uptown,1
409939,3097,2,2.5,13614,Downtown,2
357034,2971,7,2.5,12449,Uptown,1
429097,2995,7,1.5,15447,Downtown,2
429206,3308,2,2,15375,Downtown,2
400185,3052,2,3,14915,Suburbs,3
463814,3009,4,3.5,.,Downtown,2
379090,3067,6,1.5,12143,Suburbs,3
442955,2974,6,4,8820,Suburbs,3
389783,2883,5,3.5,8032,Suburbs,3
376054,2858,3,3.5,13777,Suburbs,3
442632,3203,6,1.5,13520,Downtown,2
347508,3166,5,2,14998,Uptown,1
429702,2915,5,3.5,15466,Downtown,2
347872,3024,3,1,12779,Suburbs,3
314308,2996,3,1.5,9117,Uptown,1
428483,2987,5,3,10308,Downtown,2
.,2958,2,1,17382,Suburbs,3
353446,3152,1,1.5,15125,Suburbs,3
437588,.,5,3,22408,Suburbs,3
451964,2916,6,4,.,Downtown,2
380157,3010,4,2,20794,Suburbs,3
436807,3099,5,4,20743,Suburbs,3
363766,3116,5,2.5,17872,Uptown,1
389879,2888,5,2.5,9485,Downtown,2
411362,2970,5,1,19034,Downtown,2
401903,2975,2,2.5,12373,Downtown,2
435363,3036,4,4,11066,Downtown,2
437001,3085,4,3,16980,Downtown,2
356088,2927,1,1,18570,Downtown,2
428136,.,3,3,15819,Downtown,2
418493,2949,4,2,16836,Downtown,2
343089,3038,2,3,17628,Uptown,1
399508,3010,2,2.5,15973,Downtown,2
438697,2890,7,2.5,11159,Downtown,2
453890,2939,4,3.5,16856,Downtown,2
382852,2909,2,1.5,14453,Downtown,2
440329,3127,6,2,18634,Downtown,2
391583,3153,4,2,5879,Downtown,2
363391,2977,5,3,15660,Uptown,1
472200,3046,7,3.5,9886,Downtown,2
388735,2863,3,.,18926,Downtown,2
362538,2944,4,3.5,14370,Uptown,1
413394,3122,3,2,24632,Downtown,2
414124,3027,2,2,19237,Downtown,2
391585,2863,5,2.5,18096,Suburbs,3
331774,2950,3,3,9117,Uptown,1
446624,3007,7,3.5,10791,Downtown,2
521876,3442,7,3.5,16197,Downtown,2
362347,2985,7,2,19646,Uptown,1
407907,2998,2,2.5,10567,Downtown,2
462318,3010,6,4,8358,Downtown,2
444440,3111,6,3,11277,Downtown,2
409188,3064,5,2,12520,Downtown,2
392229,.,5,2,15519,Downtown,2
454443,2929,7,3.5,17646,Suburbs,3
.,3053,4,3.5,11229,Downtown,2
403133,2969,4,3,20188,Suburbs,3
451701,3021,5,2,26127,Downtown,2
339595,3037,1,1.5,9616,Suburbs,3
441405,2945,7,3,9278,Downtown,2
386500,2995,5,2,8434,Downtown,2
393744,3100,1,3,15726,Suburbs,3
403184,2924,1,2.5,18258,Downtown,2
308430,2863,1,2,11882,Uptown,1
456100,2936,7,3.5,14537,Downtown,2
291496,3067,1,1.5,13700,Uptown,1
398206,3055,7,3.5,15034,Uptown,1
451296,3157,2,4,17940,Downtown,2
357526,2899,4,4,3180,Uptown,1
400741,3059,7,1.5,16246,Suburbs,3
439990,2950,5,3,15128,Downtown,2
381079,3061,1,1.5,18133,Downtown,2
381539,2971,3,2,10344,Downtown,2
342147,3026,6,2,9643,Uptown,1
429643,3109,2,3,17080,Downtown,2
364612,3013,4,2.5,21133,Uptown,1
437994,3125,4,3,13976,Downtown,2
410533,2940,6,1,16536,Downtown,2
403470,2870,5,3,14293,Suburbs,3
390080,2959,6,1,11546,Downtown,2
472785,3184,7,2.5,16192,Downtown,2
427246,2982,2,3.5,17680,Downtown,2
368238,2945,2,2,14431,Suburbs,3
398556,3037,2,1.5,12515,Downtown,2
387192,2779,1,3.5,16543,Downtown,2
444593,3031,5,2.5,16885,Downtown,2
464775,3071,4,2,24484,Downtown,2
414293,2895,4,3,17034,Downtown,2
398037,3035,4,3,14707,Suburbs,3
372995,3186,6,2,16490,Uptown,1
418636,2945,4,3,16754,Downtown,2
423789,3041,7,1,16310,Downtown,2
364320,3073,6,2,23263,Uptown,1
414420,3093,5,1,19622,Downtown,2
401946,2883,2,3.5,11759,Downtown,2
415648,3091,6,2.5,15935,Suburbs,3
344432,2946,6,1,17865,Uptown,1
348245,3001,1,3.5,18175,Uptown,1
412901,2936,5,2,16167,Downtown,2
438743,3154,6,2,17155,Downtown,2
361290,2896,2,1,14795,Downtown,2
316850,3061,1,2,9229,Uptown,1
428434,2870,3,3.5,10372,Downtown,2
332350,2892,1,2,14715,Suburbs,3
381931,3028,4,1.5,11713,Suburbs,3
359180,3074,6,1.5,21007,Uptown,1
412620,2964,5,1,14033,Downtown,2
360464,3082,5,2.5,14568,Uptown,1
379665,2975,1,2,20090,Downtown,2
418224,3008,5,2,9308,Downtown,2
412111,2849,4,2,14755,Downtown,2
409806,2842,3,3.5,9392,Downtown,2
414141,2917,6,1.5,24697,Suburbs,3
429654,3013,1,4,18269,Downtown,2
363652,2874,3,1.5,11398,Downtown,2
300676,3076,2,1,9929,Uptown,1
.,3032,2,3.5,14996,Uptown,1
287219,2935,1,1.5,13958,Uptown,1
388934,2826,3,3,20267,Suburbs,3
335510,3058,3,2.5,14461,Uptown,1
337923,3059,5,1.5,13863,Uptown,1
337662,3132,2,3,13037,Uptown,1
315282,3164,2,2,10994,Uptown,1
419026,2943,1,3.5,17809,Downtown,2
400906,2802,4,1,19569,Downtown,2
413114,3078,6,2.5,16850,Suburbs,3
445303,3037,6,2.5,18806,Downtown,2
388907,2970,5,1,15018,Downtown,2
427211,2894,7,1.5,16398,Downtown,2
437541,3192,5,2.5,13726,Downtown,2
353063,3087,6,2,.,Uptown,1
469321,3046,7,4,22880,Suburbs,3
360269,2995,2,2,21494,Suburbs,3
399378,3159,4,1,16260,Downtown,2
386590,3173,5,1,16826,Suburbs,3
355080,3082,7,2,9373,Uptown,1
452275,3035,4,3.5,17625,Downtown,2
408013,3119,5,2.5,10526,Suburbs,3
395220,3087,4,1,12385,Downtown,2
415141,3068,3,1.5,16968,Downtown,2
389715,2963,1,3,12506,Downtown,2
461685,2971,5,4,24008,Downtown,2
259364,2892,1,1,8256,Uptown,1
308000,3047,2,1.5,13930,Uptown,1
303997,2999,4,1,13989,Uptown,1
332335,2944,1,1,9897,Downtown,2
387674,3188,5,3,20296,Uptown,1
344831,2977,3,2.5,18071,Uptown,1
422848,2992,2,4,16427,Downtown,2
407415,2914,7,1,15937,Downtown,2
417171,2869,3,3,18134,Downtown,2
403892,3202,6,4,9653,Uptown,1
389032,2817,3,2,18415,Downtown,2
388533,2986,4,3,18030,Suburbs,3
400690,2992,5,1,13028,Downtown,2
326716,2966,6,1,14956,Uptown,1
341765,3038,4,2,12997,Uptown,1
353260,2996,2,2.5,9163,Suburbs,3
419378,2946,5,3,16846,Suburbs,3
393984,2899,2,3,11405,Downtown,2
439377,3202,5,1.5,16398,Downtown,2
353422,3009,3,3,22720,Uptown,1
312449,2904,1,3,11198,Uptown,1
351876,2903,3,3.5,15060,Uptown,1
396967,3016,5,2,7134,Downtown,2
381075,2971,3,1,18547,Downtown,2
347999,2993,4,2.5,17292,Uptown,1
431140,3023,6,1.5,19435,Downtown,2
373453,3122,3,2.5,5048,Suburbs,3
428844,3066,4,2.5,19359,Downtown,2
416898,3139,5,3,12439,Suburbs,3
477817,3082,7,4,15777,Suburbs,3
349975,3026,5,2,16917,Uptown,1
333762,3033,5,2,12485,Uptown,1
378517,3100,1,1.5,18140,Downtown,2
366098,3057,3,2,9584,Suburbs,3
394667,2999,2,3,6612,Downtown,2
445499,3035,3,3,19480,Downtown,2
342759,3026,2,1,12882,Suburbs,3
464894,3044,6,3,17711,Downtown,2
377531,3133,6,2.5,14410,Uptown,1
432422,3095,2,4,20602,Downtown,2
450183,3005,7,3,17461,Downtown,2
411115,3077,5,4,15342,Uptown,1
288269,3034,1,1,12822,Uptown,1
427102,3093,5,2,14841,Downtown,2
408701,2962,4,2.5,14832,Downtown,2
453448,2919,6,3.5,14726,Downtown,2
429394,3016,4,3.5,14537,Downtown,2
433651,3044,6,3.5,11968,Suburbs,3
460445,2967,6,2,22393,Downtown,2
387648,3009,3,3,16218,Suburbs,3
404179,3094,3,2,20403,Downtown,2
378816,3058,1,3.5,11965,Suburbs,3
409711,3011,3,3,11629,Downtown,2
387479,2961,4,1,7969,Downtown,2
449479,3133,5,3.5,15261,Downtown,2
463028,3173,6,3,17789,Downtown,2
311502,2949,3,1,18375,Uptown,1
423303,2955,2,4,13838,Downtown,2
432851,2960,6,3.5,8536,Suburbs,3
388966,3034,3,4,19797,Uptown,1
392527,3070,1,3,13919,Downtown,2
478557,2943,7,3,14821,Downtown,2
408407,3042,7,3.5,16983,Uptown,1
416405,2969,3,3,9160,Downtown,2
361669,3093,4,2,22806,Uptown,1
393140,2939,4,1.5,11902,Downtown,2
412307,3031,2,3.5,17149,Suburbs,3
423309,3167,2,2.5,20386,Downtown,2
405062,2786,6,2.5,16961,Downtown,2
398899,2910,1,3,13947,Downtown,2
293195,2898,2,2,11373,Uptown,1
400110,2985,1,3.5,16438,Downtown,2
420413,2912,6,3,15211,Suburbs,3
402457,2933,5,3,16707,Suburbs,3
445975,3132,3,3.5,15127,Downtown,2
308357,3070,1,2.5,9484,Uptown,1
291114,3032,3,1.5,4901,Uptown,1
431963,3142,3,4,17406,Downtown,2
332113,2942,3,1,6373,Suburbs,3
364944,2935,3,1.5,10412,Downtown,2
335566,3151,4,2,13643,Uptown,1
445435,3009,3,3.5,19292,Downtown,2
431917,2937,5,2.5,15194,Downtown,2
424947,3148,2,3.5,14028,Downtown,2
436128,3060,2,3,20082,Downtown,2
331934,2973,4,2.5,4836,Uptown,1
327446,2959,3,2.5,12919,Uptown,1
390982,2925,2,2.5,17162,Suburbs,3
447156,3007,3,3.5,19238,Downtown,2
320732,3137,4,1.5,16200,Uptown,1
408435,3097,3,1.5,13853,Downtown,2
375894,2915,3,1.5,13819,Downtown,2
411637,3100,5,1.5,15557,Downtown,2
377752,2985,2,2,18517,Suburbs,3
336589,2912,3,3.5,12212,Uptown,1
342999,2884,1,1,8433,Downtown,2
445162,3087,6,4,10626,Suburbs,3
366017,2985,3,2,15377,Suburbs,3
416497,3025,1,3.5,15353,Downtown,2
402198,3106,4,1.5,15277,Downtown,2
383653,2970,3,2,19515,Suburbs,3
355956,2922,6,2,12415,Uptown,1
424896,3104,5,3,13667,Suburbs,3
334054,3055,3,1.5,20361,Uptown,1
393210,3117,2,1.5,15098,Downtown,2
438910,2965,7,1.5,19950,Downtown,2
386452,3109,4,1.5,16290,Suburbs,3
444422,2998,7,2,12971,Downtown,2
324230,3122,1,1.5,7715,Suburbs,3
485452,3236,6,3.5,13272,Downtown,2
405389,2946,3,2.5,15086,Downtown,2
385843,3068,2,2.5,10738,Downtown,2
420959,2906,3,3.5,9720,Downtown,2
445274,3082,4,2.5,12875,Downtown,2
381599,2918,4,1,9283,Downtown,2
406323,3205,1,3.5,17310,Suburbs,3
363714,3044,3,1.5,18459,Suburbs,3
378741,3101,3,1.5,16751,Suburbs,3
327656,3013,4,1.5,18738,Uptown,1
413166,2923,.,3,10790,Downtown,2
364307,2872,2,1,14445,Downtown,2
413936,2910,7,1.5,14676,Downtown,2
355765,3089,6,1.5,12453,Uptown,1
358931,3038,2,3,26958,Uptown,1
335050,2977,3,1.5,20763,Uptown,1
424727,2939,6,2,12939,Downtown,2
377803,2781,4,1.5,10961,Downtown,2
327369,2990,3,2,12860,Uptown,1
450856,3203,6,3,10107,Downtown,2
420138,2981,4,3.5,6269,Suburbs,3
383429,2998,2,3.5,8109,Suburbs,3
384630,2964,4,1.5,12298,Downtown,2
349906,3132,3,2,19232,Uptown,1
385747,2851,4,1,14726,Downtown,2
356498,2970,2,1.5,7241,Downtown,2
461320,3081,7,2.5,8105,Downtown,2
455306,2962,5,4,22433,Suburbs,3
432494,2972,4,2.5,19351,Downtown,2
356329,2895,1,1,21387,Downtown,2
436896,3021,6,4,10333,Suburbs,3
445958,2778,5,4,12858,Downtown,2
408397,2790,6,2.5,16143,Downtown,2
430321,3016,7,1.5,10851,Downtown,2
411630,2925,6,2.5,16278,Suburbs,3
447523,2991,6,4,12921,Suburbs,3
474608,3103,7,3.5,16118,Downtown,2
426834,3074,2,4,9897,Downtown,2
421237,2889,6,1.5,18821,Downtown,2
381597,2980,2,1.5,11503,Downtown,2
448726,3091,5,3,13237,Downtown,2
403130,3025,5,2,17509,Suburbs,3
367975,3059,4,2.5,15023,Uptown,1
373700,2929,2,1.5,15220,Downtown,2
427281,3080,1,4,13043,Downtown,2
375660,2900,6,1.5,13676,Suburbs,3
409263,3128,3,2,13230,Downtown,2
370461,3040,3,1,11582,Downtown,2
459421,3131,7,2.5,14006,Downtown,2
377058,2867,2,3.5,15723,Suburbs,3
390268,2860,2,3.5,7319,Downtown,2
374065,2810,4,2,1370,Downtown,2
328357,2988,2,3,13708,Uptown,1
463346,3133,7,3,13410,Downtown,2
337217,2808,5,2,13117,Uptown,1
341178,3036,5,1.5,17974,Uptown,1
413741,2949,4,2.5,15985,Suburbs,3
386459,2882,7,2,24374,Uptown,1
357940,2935,3,1,15598,Suburbs,3
405817,3040,3,3,12506,Downtown,2
410651,3066,4,2.5,8572,Downtown,2
424148,3105,3,2,19036,Downtown,2
422425,2874,5,3,13607,Downtown,2
374164,3061,3,3.5,17950,Uptown,1
457273,2995,5,3.5,12087,Downtown,2
401788,3014,3,2.5,11851,Downtown,2
375515,3123,2,2,17646,Downtown,2
301118,3049,4,1.5,8034,Uptown,1
370054,2949,4,1.5,15958,Suburbs,3
321042,2910,2,3,11511,Uptown,1
404983,3102,3,2.5,9859,Downtown,2
424455,3093,4,3.5,16718,Suburbs,3
444079,3063,6,3,10137,Downtown,2
439956,3111,6,3.5,10730,Suburbs,3
391052,2820,6,2,17425,Suburbs,3
452467,3077,3,3.5,19526,Downtown,2
397982,2821,2,2.5,13905,Downtown,2
371538,3043,3,2,11483,Suburbs,3
372746,2937,5,3.5,12380,Uptown,1
396484,2942,5,2.5,16268,Suburbs,3
403835,2935,3,2.5,13708,Downtown,2
428795,3030,4,3.5,15525,Suburbs,3
436215,2985,5,2.5,11577,Downtown,2
449826,3103,6,3,18514,Downtown,2
392879,3108,4,2.5,9725,Suburbs,3
390321,2972,7,4,14666,Uptown,1
324220,2996,1,1.5,11078,Suburbs,3
371586,2876,6,4,20159,Uptown,1
375875,2858,3,1.5,12860,Downtown,2
357504,2935,5,3.5,9357,Uptown,1
347688,2895,1,1,18811,Suburbs,3
368517,3006,3,2.5,11469,Suburbs,3
379803,3045,2,1.5,15886,Downtown,2
427487,3098,4,3,6970,Downtown,2
413334,3146,2,4,7288,Suburbs,3
382424,2909,5,1.5,8323,Downtown,2
368714,2938,2,1,15790,Downtown,2
386712,3059,6,4,11037,Uptown,1
374650,3272,4,3,17400,Uptown,1
418096,2917,6,1.5,14242,Downtown,2
465103,3047,6,3.5,12971,Downtown,2
439991,2946,7,2,18255,Downtown,2
381208,2852,2,2,16454,Downtown,2
331250,3038,4,2,8327,Uptown,1
310189,2933,5,1.5,11085,Uptown,1
423045,2996,3,3,17235,Downtown,2
443871,3033,7,3.5,10243,Suburbs,3
394325,3162,2,2,17323,Downtown,2
377526,3035,6,3,15621,Uptown,1
369251,3051,4,3,16464,Uptown,1
290801,3029,1,1.5,14974,Uptown,1
389038,2953,5,1,14078,Suburbs,3
405742,3245,7,2,10361,Suburbs,3
374476,2764,4,2,13220,Suburbs,3
414306,2978,2,3.5,10923,Downtown,2
362052,2877,6,2,18941,Uptown,1
432284,3180,1,3.5,14436,Downtown,2
303564,2858,2,2,8442,Uptown,1
435894,3048,6,4,11168,Suburbs,3
351875,2914,5,3,10960,Uptown,1
335540,3121,1,3.5,7158,Uptown,1
330354,2834,4,2,15724,Uptown,1
373629,2988,6,2,7088,Suburbs,3
450873,3145,7,1.5,19520,Downtown,2
406438,2917,5,3.5,9022,Suburbs,3
383302,3049,5,3.5,16306,Uptown,1
446030,3042,5,3,17781,Downtown,2
409490,3128,2,3.5,21291,Suburbs,3
398441,3010,6,4,18000,Uptown,1
368947,3057,2,3.5,4655,Suburbs,3
374445,2936,4,2,14504,Suburbs,3
475573,2969,7,4,14807,Downtown,2
455197,3074,5,3.5,22603,Suburbs,3
404046,2871,5,2,17509,Suburbs,3
446882,3158,3,3.5,12781,Downtown,2
372445,3046,4,3.5,12929,Uptown,1
443339,3014,4,3.5,13634,Downtown,2
409270,3181,3,2.5,18684,Suburbs,3
397084,2982,3,1.5,12341,Downtown,2
428533,2965,3,3.5,13215,Downtown,2
405874,3005,3,4,10937,Suburbs,3
307193,2954,2,2.5,4914,Uptown,1
345715,3034,4,2.5,13570,Uptown,1
439935,3041,5,3,8099,Downtown,2
345113,3040,2,1.5,12529,Suburbs,3
412505,2967,3,2.5,16562,Downtown,2
393513,2949,6,4,17964,Uptown,1
418500,3041,7,1.5,12328,Downtown,2
354195,2981,5,2.5,16819,Uptown,1
460306,2940,5,3.5,22143,Downtown,2
361978,3058,3,2.5,16591,Uptown,1
395023,3013,2,3,17481,Downtown,2
411713,2958,6,2.5,14648,Suburbs,3
422423,2899,3,3.5,14012,Downtown,2
418060,3001,7,1,17447,Downtown,2
402230,2992,7,1.5,14053,Suburbs,3
463547,3035,6,3.5,22550,Suburbs,3
353575,2888,6,2.5,11518,Uptown,1
293884,2927,1,3,4963,Uptown,1
401574,2966,6,3,12905,Suburbs,3
387603,2988,2,2,11259,Downtown,2
407586,3014,6,1.5,15495,Suburbs,3
306441,3157,2,1,12813,Uptown,1
393104,3254,4,1.5,13907,Suburbs,3
364207,2875,2,3.5,8658,Suburbs,3
455586,2947,6,3.5,14688,Downtown,2
356292,2989,3,2.5,17133,Uptown,1
411983,3040,3,2,13406,Downtown,2
446300,2948,4,3,18656,Downtown,2
427199,3152,7,2.5,14081,Suburbs,3
362128,3086,6,2.5,20277,Uptown,1
394272,2911,5,2,12008,Downtown,2
348318,2996,6,1.5,16180,Uptown,1
392834,2802,3,3.5,18107,Suburbs,3
438886,3065,5,3,19131,Downtown,2
414027,2943,2,4,22047,Suburbs,3
401638,2795,5,3,11373,Suburbs,3
393821,3124,2,1.5,13245,Downtown,2
316871,3081,3,1,15652,Uptown,1
338989,3068,2,3,18570,Uptown,1
403827,3089,3,2,16074,Downtown,2
427662,3082,3,3,18796,Downtown,2
339511,3020,2,1.5,11952,Suburbs,3
441141,3015,6,3,22289,Suburbs,3
335404,2963,6,1.5,13959,Uptown,1
381585,2958,4,3,8237,Suburbs,3
433360,3006,5,3.5,10412,Suburbs,3
403661,3058,2,2.5,19258,Suburbs,3
350490,2926,3,1.5,17102,Suburbs,3
453660,3014,6,3,11025,Downtown,2
450383,2958,4,3,21945,Downtown,2
350079,2990,1,1,17089,Suburbs,3
448763,2978,3,4,14845,Downtown,2
349221,3170,5,1.5,11590,Uptown,1
465646,2912,6,3.5,14511,Downtown,2
420090,3122,4,2.5,18977,Downtown,2
361884,3137,1,4,9212,Uptown,1
461099,3155,5,2.5,18887,Downtown,2
384952,2673,5,3,11764,Suburbs,3
416595,2879,5,2.5,12471,Downtown,2
354429,2983,2,3.5,16497,Uptown,1
402181,3013,2,3,10954,Downtown,2
404603,3120,2,3.5,14353,Suburbs,3
411889,2933,3,3.5,10864,Downtown,2
.,3066,1,4,20159,Suburbs,3
365147,3040,4,2.5,21756,Uptown,1
410646,3009,2,3,16505,Downtown,2
395084,2890,5,1.5,12041,Suburbs,3
410419,3099,4,2.5,15163,Suburbs,3
409938,2942,5,3,12762,Suburbs,3
355023,2908,3,4,11541,Uptown,1
366924,3154,3,3,12998,Uptown,1
385936,3136,4,1.5,15942,Suburbs,3
357179,3088,3,3.5,10699,Uptown,1
415779,3109,2,3.5,8399,Downtown,2
402433,2862,7,1.5,18655,Suburbs,3
342021,2945,1,1,10299,Downtown,2
387669,2999,3,4,21306,Uptown,1
425144,2999,3,4,15263,Downtown,2
363142,2824,6,2.5,20299,Uptown,1
392411,2977,6,1.5,15877,Suburbs,3
354525,3010,5,3.5,15892,Uptown,1
355225,3044,3,4,9923,Uptown,1
434511,2957,5,2,19215,Downtown,2
422211,2990,7,3,11318,Suburbs,3
420043,2762,4,2.5,18318,Downtown,2
373870,2999,6,3,10175,Uptown,1
368168,2923,3,3,10799,Suburbs,3
349889,2944,4,2,16090,Uptown,1
439967,2938,4,3,17713,Downtown,2
328931,3020,4,3,12794,Uptown,1
445291,3020,5,3,18668,Suburbs,3
413326,3038,2,3.5,12336,Downtown,2
378178,2971,2,1,16680,Downtown,2
355898,2947,2,1.5,16672,Suburbs,3
456326,3175,7,2.5,18012,Downtown,2
406110,3045,2,3.5,4708,Downtown,2
385754,3088,1,3,10779,Downtown,2
442475,3039,2,4,22775,Downtown,2
402988,2998,3,2.5,17443,Downtown,2
433202,2751,5,2.5,15889,Downtown,2
361988,3054,6,1.5,14540,Uptown,1
403014,2926,2,2,15580,Downtown,2
335980,2956,2,2.5,15328,Uptown,1
354451,2913,3,3.5,17758,Uptown,1
453063,2878,6,3.5,22909,Downtown,2
372691,2874,2,3.5,16118,Suburbs,3
370009,2864,3,1.5,9752,Downtown,2
386841,2872,2,2.5,15287,Downtown,2
412748,2985,2,3,16097,Downtown,2
473455,3074,6,3,22133,Downtown,2
411275,2775,2,4,13470,Downtown,2
412114,3035,4,2,16299,Downtown,2
332425,3190,1,2.5,18091,Uptown,1
329413,3009,3,2,20696,Uptown,1
317319,3149,2,1.5,13203,Uptown,1
405355,2820,5,2.5,20779,Downtown,2
447248,3043,7,2,16540,Downtown,2
347604,3037,3,2,19453,Uptown,1
335543,3054,2,1,16942,Suburbs,3
430384,3030,5,3.5,17393,Suburbs,3
312552,3011,1,3,16987,Uptown,1
343013,3154,1,3,10541,Uptown,1
397320,2953,2,2,18850,Downtown,2
406617,3046,2,2,9689,Downtown,2
334653,3157,6,1,10813,Uptown,1
406059,3079,2,2.5,19286,Downtown,2
386686,2917,5,1.5,10967,Downtown,2
427940,3002,6,1.5,18439,Downtown,2
437022,3003,6,2,15788,Downtown,2
405476,2895,2,4,14231,Downtown,2
414959,2981,2,3.5,22490,Downtown,2
393220,3068,3,2,10069,Downtown,2
391388,2962,7,4,15288,Uptown,1
354579,3097,2,3,12963,Uptown,1
348088,2908,6,2.5,12787,Uptown,1
288175,3086,1,1.5,10765,Uptown,1
360982,2843,1,2.5,17561,Downtown,2
358875,2832,4,3,19421,Uptown,1
375965,2753,5,1,10935,Downtown,2
323877,3045,3,3,9572,Uptown,1
425015,3066,7,2,15428,Suburbs,3
424731,2946,3,2,20036,Downtown,2
364644,2754,5,3,23944,Uptown,1
344553,3021,2,3.5,8865,Uptown,1
411516,3061,5,1.5,13038,Downtown,2
374058,2800,3,2,17925,Downtown,2
371568,2974,1,2,14469,Downtown,2
305892,3059,2,2.5,11476,Uptown,1
447028,3077,3,3.5,18782,Downtown,2
420519,2947,3,2.5,14502,Downtown,2
