Salary,Age,Profession
89054.0,64.0,2
67263.0,25.0,1
77565.0,42.0,1
83411.0,45.0,2
86558.0,60.0,1
66721.0,24.0,1
72296.0,29.0,2
81022.0,52.0,3
64655.0,20.0,2
89512.0,65.0,2
79787.0,48.0,1
75338.0,31.0,2
84099.0,53.0,2
85731.0,63.0,3
88306.0,58.0,2
64543.0,21.0,2
85674.0,50.0,2
76250.0,32.0,2
76900.0,34.0,2
77480.0,36.0,2
84542.0,56.0,1
73513.0,32.0,3
87919.0,63.0,2
70598.0,29.0,1
85670.0,55.0,2
87089.0,54.0,2
79742.0,42.0,2
69523.0,30.0,1
79189.0,44.0,1
81882.0,49.0,2
82877.0,61.0,3
79468.0,46.0,3
78281.0,45.0,3
70806.0,28.0,2
70117.0,23.0,2
83501.0,48.0,2
65994.0,25.0,3
68587.0,28.0,1
85382.0,62.0,3
75370.0,30.0,2
70422.0,32.0,3
78876.0,44.0,1
73189.0,27.0,2
82697.0,50.0,2
77009.0,35.0,2
82469.0,51.0,1
63532.0,20.0,3
71522.0,30.0,1
87622.0,55.0,2
66322.0,19.0,2
82281.0,42.0,2
69824.0,31.0,3
81745.0,49.0,1
72152.0,32.0,1
78705.0,41.0,2
90004.0,64.0,2
75342.0,33.0,2
81321.0,44.0,1
64055.0,19.0,2
84086.0,50.0,2
79035.0,37.0,2
65526.0,22.0,2
83735.0,46.0,2
79326.0,45.0,1
86627.0,55.0,2
83717.0,49.0,2
77892.0,37.0,2
78959.0,37.0,2
79713.0,44.0,1
88010.0,62.0,2
81688.0,58.0,3
69810.0,24.0,2
89648.0,61.0,2
85994.0,59.0,3
79606.0,42.0,2
64930.0,22.0,3
88789.0,59.0,2
85705.0,58.0,2
83824.0,50.0,2
87403.0,55.0,2
63965.0,18.0,2
77139.0,44.0,3
69012.0,22.0,2
68409.0,22.0,2
85831.0,62.0,1
84399.0,61.0,1
80950.0,48.0,1
73233.0,36.0,1
68247.0,25.0,1
86628.0,57.0,1
67705.0,24.0,1
69240.0,24.0,2
61090.0,19.0,1
80944.0,44.0,2
81570.0,52.0,3
76905.0,37.0,3
86423.0,53.0,2
75104.0,35.0,1
88025.0,65.0,2
77671.0,43.0,3
80014.0,43.0,1
82044.0,46.0,2
85433.0,62.0,1
75567.0,29.0,2
84066.0,46.0,2
85714.0,55.0,2
84143.0,61.0,3
86654.0,65.0,1
63339.0,23.0,3
80778.0,46.0,2
72627.0,28.0,2
80611.0,40.0,2
80405.0,40.0,2
79596.0,40.0,2
82888.0,48.0,2
68880.0,28.0,3
74592.0,37.0,3
84001.0,54.0,1
69631.0,26.0,2
73729.0,28.0,2
86851.0,62.0,1
66413.0,22.0,2
82618.0,46.0,2
75498.0,35.0,2
82421.0,45.0,2
84207.0,48.0,2
72772.0,36.0,3
77235.0,34.0,2
71387.0,27.0,2
86877.0,57.0,2
70445.0,25.0,2
82797.0,47.0,2
83156.0,57.0,3
81700.0,46.0,1
84477.0,53.0,2
73454.0,35.0,3
74219.0,30.0,2
68862.0,25.0,2
80125.0,44.0,1
86035.0,60.0,1
70999.0,32.0,3
77761.0,41.0,3
87103.0,59.0,2
83107.0,48.0,2
76297.0,44.0,3
84007.0,61.0,3
78335.0,37.0,2
81988.0,52.0,1
86149.0,55.0,2
69930.0,28.0,1
79196.0,46.0,1
87002.0,60.0,2
77442.0,39.0,1
77996.0,38.0,1
84088.0,55.0,1
75833.0,37.0,1
83431.0,51.0,2
85010.0,56.0,1
65799.0,22.0,1
65279.0,18.0,2
78273.0,42.0,1
82223.0,51.0,1
64972.0,18.0,2
81691.0,45.0,2
65456.0,20.0,2
70217.0,30.0,3
82816.0,56.0,3
62960.0,19.0,2
85648.0,59.0,2
88046.0,59.0,2
71146.0,29.0,3
71502.0,26.0,2
72688.0,30.0,2
77489.0,38.0,2
60729.0,19.0,3
67893.0,25.0,3
86526.0,64.0,3
79589.0,46.0,3
76453.0,35.0,2
83293.0,51.0,3
63237.0,20.0,1
81563.0,51.0,1
83589.0,44.0,2
81331.0,45.0,2
74874.0,32.0,1
73622.0,29.0,2
77900.0,37.0,2
82274.0,54.0,3
80904.0,48.0,1
85021.0,49.0,2
67018.0,26.0,3
79876.0,42.0,2
87649.0,60.0,2
74918.0,38.0,3
75270.0,41.0,1
68395.0,22.0,2
71285.0,29.0,1
84654.0,54.0,2
63182.0,20.0,3
68783.0,26.0,1
87621.0,58.0,2
83986.0,51.0,2
76461.0,39.0,1
83115.0,59.0,3
83699.0,61.0,3
70893.0,29.0,1
81021.0,51.0,3
63212.0,18.0,2
78341.0,38.0,2
83554.0,49.0,2
67219.0,21.0,2
74534.0,36.0,1
79351.0,46.0,3
85792.0,63.0,3
69751.0,29.0,3
84352.0,59.0,1
67467.0,25.0,1
70525.0,26.0,2
85786.0,58.0,2
84714.0,61.0,3
79764.0,41.0,3
84412.0,58.0,1
85216.0,59.0,1
84318.0,53.0,1
88149.0,61.0,2
82327.0,55.0,1
84953.0,60.0,1
85055.0,53.0,2
69364.0,22.0,2
69435.0,27.0,1
74588.0,37.0,3
79714.0,43.0,2
72907.0,33.0,3
71030.0,31.0,1
82391.0,44.0,2
74926.0,32.0,2
70258.0,25.0,1
80271.0,42.0,2
83169.0,54.0,3
80357.0,51.0,3
74450.0,35.0,1
83631.0,51.0,2
86525.0,61.0,2
85951.0,55.0,2
85376.0,51.0,2
67592.0,24.0,3
69527.0,25.0,2
68128.0,21.0,2
75595.0,36.0,1
84384.0,57.0,3
88076.0,65.0,1
70367.0,28.0,3
86325.0,56.0,2
81756.0,44.0,2
84130.0,58.0,1
75801.0,34.0,2
65855.0,21.0,2
72122.0,32.0,1
70216.0,26.0,2
78055.0,39.0,2
71937.0,27.0,2
79508.0,41.0,2
80615.0,40.0,2
83900.0,63.0,3
75240.0,31.0,2
70325.0,26.0,2
76153.0,33.0,2
83729.0,50.0,2
81864.0,49.0,1
71838.0,28.0,2
71490.0,33.0,3
71735.0,24.0,2
86758.0,61.0,2
85048.0,50.0,2
87726.0,58.0,2
70587.0,33.0,3
84602.0,49.0,2
83429.0,49.0,2
82315.0,53.0,3
65165.0,23.0,3
80200.0,38.0,2
71797.0,26.0,2
75995.0,38.0,2
84744.0,57.0,1
85122.0,51.0,2
74160.0,32.0,2
82484.0,54.0,1
61519.0,19.0,3
68242.0,24.0,1
61732.0,19.0,1
75475.0,30.0,2
83030.0,57.0,3
88431.0,62.0,2
87088.0,55.0,2
65768.0,22.0,3
89565.0,63.0,2
80530.0,49.0,3
81298.0,52.0,3
81053.0,44.0,2
78105.0,33.0,2
81449.0,41.0,2
89890.0,64.0,2
78880.0,41.0,2
88884.0,63.0,2
70710.0,26.0,2
77721.0,37.0,2
65541.0,25.0,3
70328.0,27.0,1
70279.0,30.0,3
75748.0,32.0,2
85786.0,53.0,2
74133.0,35.0,3
74644.0,36.0,1
84102.0,46.0,2
70286.0,27.0,2
64121.0,19.0,2
82784.0,50.0,1
65221.0,23.0,3
73519.0,37.0,3
79622.0,48.0,1
80504.0,49.0,1
71130.0,30.0,3
86803.0,58.0,2
63035.0,19.0,3
77851.0,37.0,2
74265.0,32.0,1
82661.0,49.0,2
86228.0,57.0,2
64168.0,19.0,2
81319.0,52.0,3
88537.0,56.0,2
90026.0,64.0,2
63579.0,21.0,1
74768.0,30.0,2
63351.0,22.0,3
77182.0,43.0,3
75988.0,45.0,3
82464.0,46.0,2
83524.0,55.0,1
85229.0,60.0,1
72736.0,26.0,2
80665.0,41.0,2
83124.0,59.0,3
64708.0,21.0,1
86041.0,59.0,1
61840.0,19.0,1
69114.0,27.0,3
87450.0,62.0,2
88247.0,64.0,1
77562.0,36.0,2
66897.0,25.0,3
81322.0,56.0,3
78142.0,34.0,2
86145.0,55.0,2
84943.0,64.0,3
69202.0,25.0,2
74789.0,38.0,3
82577.0,46.0,2
85132.0,52.0,2
64832.0,22.0,3
76139.0,38.0,2
80324.0,49.0,3
70701.0,28.0,3
73718.0,28.0,2
84194.0,53.0,2
87843.0,59.0,2
70184.0,29.0,1
65118.0,22.0,3
72672.0,34.0,1
71591.0,28.0,1
77759.0,39.0,2
75054.0,33.0,2
80872.0,43.0,1
68996.0,26.0,3
79223.0,45.0,1
81790.0,56.0,3
81606.0,51.0,1
65392.0,21.0,2
88083.0,61.0,2
79033.0,49.0,3
64297.0,24.0,3
86403.0,56.0,2
64397.0,20.0,1
80212.0,44.0,2
80815.0,41.0,2
86223.0,51.0,2
69837.0,28.0,1
68154.0,24.0,2
83523.0,49.0,2
74821.0,33.0,1
87030.0,56.0,2
64105.0,22.0,1
79857.0,45.0,1
88792.0,62.0,2
75971.0,31.0,2
75313.0,32.0,2
84501.0,56.0,3
84481.0,49.0,2
82608.0,47.0,2
84313.0,50.0,2
82377.0,46.0,2
76904.0,35.0,2
77000.0,41.0,1
85867.0,58.0,2
71242.0,29.0,1
88669.0,55.0,2
75390.0,36.0,1
81858.0,49.0,1
80177.0,38.0,2
88287.0,63.0,1
71842.0,27.0,2
79093.0,44.0,3
75317.0,33.0,2
69164.0,24.0,2
67324.0,23.0,1
69268.0,23.0,2
87695.0,59.0,2
64011.0,20.0,1
80724.0,41.0,2
86472.0,63.0,3
78542.0,43.0,1
82896.0,57.0,3
90292.0,63.0,2
83441.0,50.0,2
72520.0,32.0,1
80517.0,45.0,1
75554.0,33.0,2
80749.0,42.0,2
86525.0,53.0,2
85367.0,62.0,1
82073.0,53.0,3
76269.0,36.0,3
88908.0,60.0,2
76210.0,35.0,1
76585.0,39.0,3
74165.0,35.0,3
80473.0,48.0,3
72720.0,30.0,1
85600.0,63.0,3
76592.0,40.0,1
85056.0,58.0,1
85204.0,53.0,2
79729.0,47.0,3
84019.0,47.0,2
82012.0,48.0,2
80770.0,42.0,2
70784.0,29.0,1
84235.0,50.0,2
83977.0,46.0,2
70123.0,25.0,2
70182.0,30.0,3
68206.0,23.0,2
75599.0,35.0,1
87284.0,55.0,2
84108.0,57.0,3
86320.0,59.0,1
79231.0,38.0,2
69375.0,24.0,2
83610.0,44.0,2
74549.0,38.0,1
72608.0,33.0,3
81648.0,46.0,2
86009.0,60.0,2
62361.0,19.0,1
71716.0,27.0,2
70991.0,25.0,2
66770.0,20.0,1
76394.0,33.0,2
71257.0,30.0,1
80022.0,53.0,3
84849.0,53.0,2
77230.0,31.0,2
87435.0,59.0,2
84324.0,51.0,2
87413.0,59.0,2
64044.0,24.0,3
76110.0,37.0,1
85220.0,53.0,2
86369.0,58.0,2
85086.0,61.0,1
78456.0,36.0,2
64336.0,20.0,2
68989.0,30.0,3
84314.0,58.0,1
76176.0,40.0,3
88956.0,60.0,2
67745.0,23.0,1
65402.0,24.0,1
83674.0,53.0,1
80547.0,44.0,2
84250.0,50.0,2
82949.0,44.0,2
74977.0,30.0,2
79869.0,44.0,3
83965.0,51.0,2
80050.0,44.0,1
87258.0,60.0,2
84599.0,56.0,1
78739.0,34.0,2
81031.0,43.0,2
82166.0,50.0,3
85005.0,60.0,3
85511.0,54.0,2
74906.0,32.0,2
75831.0,33.0,2
81868.0,43.0,2
83699.0,48.0,2
88065.0,62.0,1
75009.0,31.0,2
91168.0,62.0,2
69419.0,23.0,2
81548.0,55.0,3
83141.0,55.0,1
89405.0,57.0,2
74837.0,29.0,2
84112.0,63.0,3
81397.0,45.0,2
82817.0,44.0,1
68298.0,23.0,2
63982.0,20.0,1
81410.0,48.0,3
82788.0,50.0,2
71785.0,31.0,1
71652.0,31.0,3
81802.0,57.0,3
72046.0,33.0,1
72779.0,30.0,2
85811.0,55.0,2
85799.0,53.0,2
71344.0,28.0,1
82694.0,52.0,1
71158.0,30.0,1
63643.0,19.0,3
84076.0,64.0,3
73801.0,29.0,2
69993.0,29.0,1
81310.0,43.0,2
66226.0,20.0,2
75701.0,39.0,3
81706.0,49.0,1
79429.0,41.0,2
68133.0,22.0,2
79941.0,46.0,1
89813.0,65.0,2
81077.0,52.0,1
77169.0,43.0,1
76420.0,40.0,1
87288.0,61.0,2
85157.0,60.0,3
84203.0,49.0,2
67717.0,24.0,3
69046.0,24.0,2
67747.0,25.0,2
75864.0,38.0,3
70610.0,32.0,3
83817.0,48.0,2
70444.0,25.0,2
87898.0,60.0,2
84407.0,57.0,1
76244.0,34.0,1
87373.0,63.0,2
73539.0,27.0,2
85890.0,61.0,1
87004.0,58.0,2
85454.0,55.0,2
78443.0,42.0,3
80953.0,50.0,3
83679.0,54.0,3
80135.0,37.0,2
83905.0,54.0,2
83905.0,47.0,2
62918.0,19.0,1
75880.0,32.0,2
72265.0,27.0,2
83375.0,51.0,2
62151.0,19.0,3
68151.0,21.0,2
87670.0,61.0,2
72788.0,28.0,2
84106.0,60.0,3
80108.0,47.0,1
80943.0,54.0,3
80783.0,50.0,1
84102.0,50.0,2
66485.0,25.0,3
84320.0,60.0,3
74213.0,31.0,2
87153.0,50.0,2
78151.0,40.0,1
86835.0,61.0,2
87000.0,58.0,2
69604.0,25.0,2
76875.0,39.0,1
84450.0,56.0,1
71000.0,28.0,2
85830.0,54.0,2
84386.0,50.0,2
85215.0,62.0,3
80411.0,49.0,1
65991.0,21.0,2
80230.0,50.0,3
77253.0,41.0,1
76161.0,38.0,2
86376.0,63.0,3
68086.0,23.0,2
69950.0,24.0,2
70649.0,26.0,2
86045.0,49.0,2
82012.0,43.0,2
74639.0,38.0,1
76844.0,31.0,2
78117.0,45.0,3
88823.0,65.0,2
87482.0,58.0,2
85371.0,58.0,3
64662.0,19.0,2
82472.0,42.0,2
78985.0,38.0,2
77190.0,41.0,1
82398.0,47.0,2
65883.0,25.0,3
74668.0,36.0,3
78461.0,45.0,3
74572.0,34.0,3
79377.0,37.0,2
71086.0,31.0,3
65576.0,20.0,2
87800.0,58.0,2
68231.0,21.0,2
75272.0,36.0,1
85837.0,60.0,3
79950.0,44.0,3
78607.0,47.0,3
78440.0,41.0,2
61201.0,18.0,1
76794.0,38.0,1
80877.0,41.0,2
85032.0,62.0,1
85989.0,64.0,3
76144.0,31.0,2
71560.0,32.0,3
82986.0,49.0,2
76531.0,42.0,3
67084.0,22.0,2
79483.0,45.0,1
77785.0,44.0,3
78415.0,42.0,1
79670.0,44.0,3
69259.0,25.0,2
79055.0,38.0,2
78501.0,41.0,3
78208.0,40.0,1
64667.0,23.0,3
76274.0,37.0,2
84128.0,54.0,2
79764.0,41.0,2
71398.0,29.0,1
67185.0,22.0,1
80173.0,41.0,2
64162.0,19.0,2
84408.0,52.0,2
87678.0,63.0,2
68401.0,28.0,3
83432.0,55.0,1
62602.0,19.0,1
71503.0,27.0,2
83065.0,61.0,3
77580.0,40.0,1
87953.0,58.0,2
71839.0,27.0,2
84440.0,52.0,2
72670.0,28.0,2
80695.0,44.0,2
87205.0,60.0,2
81980.0,52.0,1
90617.0,63.0,2
86833.0,65.0,3
78704.0,41.0,2
79946.0,40.0,2
88452.0,63.0,2
73579.0,33.0,3
81136.0,46.0,1
83711.0,50.0,2
68151.0,26.0,1
81348.0,44.0,2
78429.0,44.0,1
70596.0,30.0,3
67527.0,23.0,2
84398.0,48.0,2
76567.0,41.0,3
74719.0,36.0,3
86367.0,58.0,2
71007.0,26.0,2
68627.0,23.0,2
78178.0,39.0,3
87108.0,64.0,2
78419.0,38.0,2
84436.0,62.0,1
85387.0,55.0,2
79470.0,46.0,1
80345.0,49.0,3
75328.0,39.0,3
83385.0,52.0,1
85465.0,52.0,2
80273.0,40.0,2
63790.0,23.0,3
80598.0,42.0,2
78439.0,46.0,3
66271.0,19.0,2
81226.0,41.0,2
78298.0,37.0,2
68091.0,23.0,2
85010.0,54.0,2
79341.0,39.0,2
79538.0,44.0,1
78636.0,40.0,2
82554.0,46.0,2
82365.0,51.0,1
80185.0,49.0,3
85397.0,60.0,2
78233.0,41.0,1
79813.0,54.0,3
82666.0,61.0,3
76905.0,34.0,2
80124.0,49.0,3
77588.0,45.0,3
73241.0,29.0,2
68322.0,26.0,1
83821.0,64.0,3
83220.0,49.0,2
65154.0,23.0,1
77610.0,41.0,1
88354.0,61.0,2
89175.0,61.0,2
76203.0,40.0,3
82232.0,50.0,1
78842.0,42.0,1
87062.0,57.0,2
77675.0,38.0,2
71965.0,27.0,2
65603.0,22.0,3
66764.0,24.0,1
81661.0,44.0,2
88295.0,59.0,2
82975.0,49.0,2
65402.0,20.0,2
87048.0,58.0,2
59974.0,19.0,3
90361.0,64.0,2
63629.0,21.0,1
86809.0,63.0,3
78591.0,44.0,3
77947.0,38.0,2
85203.0,62.0,1
70789.0,29.0,1
64627.0,24.0,3
